상호명,지번주소
가정식 백반,서울 용산구 청파동3가 111-59
이촌삼계탕,서울 용산구 이촌동 302-64
한사바리해장국,서울 마포구 창전동 2-31
미당푸드,서울 서초구 양재동 15-10
피슈마라홍탕 신촌점,서울 서대문구 창천동 72-12
방배송이족발,서울 서초구 방배동 777-5
송가네보쌈,서울 서초구 방배동 911-20
삼겹전문소년배달돼지 강남점,서울 서초구 반포동 731-27
돈삼촌 김치찜 역삼점,서울 강남구 역삼동 719-24
한양불족발,서울 서초구 방배동 876-20
오니기리와 이규동,서울 성동구 성수동2가 289-211
미미롤집,서울 마포구 상암동 1597
"이불덮밥 상암DMC점,스키야키&모츠나베",서울 마포구 상암동 1596
1992철판전문점,서울 마포구 상암동 1601
쭝일아찌5단계빨강떡볶이,서울 용산구 신계동 36-14
미다래,서울 용산구 한강로3가 16-9
버팔로 스팟,서울 서초구 방배동 941-11
동궁찜닭 송파점,서울 송파구 석촌동 240-22
동궁찜닭 사당점,서울 동작구 사당동 39-16
닭갈비전,서울 서초구 서초동 1309-1
토요커리,서울 서초구 반포동 720-24
부다스밸리,서울 용산구 이태원동 457-1
본떡볶이,서울 성동구 용답동 159-1
카페더수,서울 강남구 역삼동 702-23
황토왕김치감자탕,서울 광진구 구의동 252-130
수셰프치킨 구의점,서울 광진구 구의동 599-8
최배달떡순튀 구의점,서울 광진구 구의동 252-65
화양양꼬치,서울 광진구 구의동 252-77
호세야 구의점,서울 광진구 구의동 210-2
두마리찜닭 관악 난곡점,서울 관악구 신림동 1727
카사아지오,서울 강남구 역삼동 672-33
갯벌낙지 수제비,서울 서대문구 남가좌동 3-92
우사골 순대국밥,서울 서대문구 대현동 56-33
명랑한찜닭,서울 서대문구 창천동 52-144
보길도 활어회,서울 서대문구 북아현동 180-16
돈낙곱순,서울 서대문구 홍제동 176-6
밥스틸러김치찜 명지대점,서울 서대문구 홍은동 398-11
팔백국밥 신촌점,서울 서대문구 창천동 53-59
화덕 등갈비,서울 서대문구 연희동 141-34
곤지암할매국밥&왕갈비탕 신림점,서울 관악구 신림동 1680-4
행복한찜닭,서울 서대문구 대현동 60-7
길상식당,서울 서대문구 창천동 57-34
명물 옛날 수제 돼지갈비,서울 서대문구 창천동 2-28
일품아구찜,서울 송파구 문정동 652
일품낙지 & 쭈꾸미,서울 송파구 문정동 652
일품갈비 & 냉면,서울 송파구 문정동 652
금메달 아구찜,서울 송파구 문정동 652
삼겹 & 제육끝판왕,서울 송파구 문정동 652
달보드레안주마을,서울 송파구 잠실동 196
풀리어트샐러드,서울 송파구 문정동 651
98떡볶이,서울 송파구 마천동 141-17
솜고래다방,서울 관악구 신림동 1525-4
남도한정식,서울 용산구 한강로3가 16-9
라쿤피자,서울 송파구 방이동 124-22
정통마라탕 마포마라회관 선릉점,서울 강남구 대치동 896-16
헬키푸키 선릉점,서울 강남구 대치동 908
신밥샵,서울 성동구 마장동 388-19
화양양고기꼬치전문점,서울 광진구 화양동 9-50
정성성 도시락,서울 강남구 역삼동 797-3
타코로코,서울 서대문구 창천동 53-20
리틀갱스터,서울 용산구 도원동 3-6
배떡 홍제점,서울 서대문구 홍제동 154-10
삼미마라탕,서울 서대문구 창천동 62-23
캘리인더볼,서울 서대문구 창천동 445
미타우동,서울 서대문구 홍제동 287-216
민정이네 베트남 쌀국수,서울 서대문구 홍제동 287-49
아비꼬 신촌점,서울 서대문구 창천동 5-31
엘살루드,서울 서대문구 창천동 2-21
화라라마라탕,서울 서대문구 대현동 34-34
한뿌리죽 이촌본점,서울 용산구 이촌동 301-10
신룽푸 마라탕,서울 서대문구 대현동 60-8
홍대개미 신촌점,서울 서대문구 창천동 18-9
정 한뿌리죽 키친 송파점,서울 송파구 방이동 218-25
유가네닭갈비 신대방삼거리역점,서울 동작구 상도동 328-10
전골떡볶이 덕미가,서울 서대문구 대현동 54-9
언젠가는,서울 동작구 사당동 88-11
생백골뱅이집,서울 마포구 상암동 2-141
제비뽑기,서울 성동구 성수동2가 277-40
포보스 쌀국수,서울 성동구 성수동2가 280
세미,서울 광진구 광장동 257-4
포아이니베트남쌀국수 광장점,서울 광진구 광장동 287-4
37.5 파스타 브런치 광진점,서울 광진구 광장동 322-6
와로샐러드 서울지점,서울 송파구 가락동 174-24
황금해장국,서울 송파구 마천동 125-23
만들다,서울 송파구 마천동 128-9
아토키토 샐러드&포케 가좌점,서울 서대문구 북가좌동 484
타이반쩜상암점,서울 서대문구 북가좌동 372-14
도화곱창,서울 마포구 도화동 179-7
샐러드 스웨이쿡,서울 광진구 군자동 150-12
사위식당,서울 마포구 공덕동 467
두찜광진중곡점,서울 광진구 중곡동 30-80
소풍가는날,서울 마포구 합정동 411-13
봉피양마포,서울 마포구 용강동 50-3
골드김밥마포점,서울 마포구 상수동 324-7
